"","*** Alcohol Soft/DAEMON Tools ***"
"snman380","Acronis Snapshot Kernel Manager"
"SnMC5xx","!!! PSP: Infosec Secret Net Software !!!"
"snp2sxp","Sonix USB PC Camera Driver"
"snp2uvc","Sonix USB PC Camera Driver"
"snpshot","PowerShadow Virtualization Driver"
"snpstd","Sonix USB PC Camera Driver"
"snpstd2","Sonix USB PC Camera Driver"
"snpstd3","Sonix USB PC Camera Driver"
"sntie","SOFTNET IE ISO Protocol Driver"
"SNTNLUSB","Rainbow Technologies Sentinel Device Driver"
"soemu","Venta4Net Fax Software"
"SoftLAN","SoftEther Virtual LAN Card Device Driver"
"sojubus","Plug and Play BIOS Extension"
"sojuscsi","SCSI Miniport Driver"
"Sony_162","Sony 162 Changer VSD Driver"
"sonyait","Microsoft SCSI Tape Driver"
"sonyhcb","Sony Digital Imaging Video Driver"
"SonyImgF","Sony Image Filter Driver"
"SonyNC","Sony Notebook Control Driver"
"SonyNC","Sony Notebook Control Manager Driver"
"SonyPI","Sony Programmable I/O Control Device Driver"
"sonypvf3","Sony DVD Handycam FS Filter Driver"
"sonypvl3","Sony DVD Handycam File System Driver"
"SONYPVM1","Sony Memory Stick Disk Driver"
"sonypvt3","Sony DVD Handycam File System Driver"
"sonysdx","Sony SCSI Tape Driver"
"sp_rsdrv2","!!! PSP: Crawler Spyware Terminator !!!"
"Sp501xl","Minolta PageWorks/Pro 1100 Driver"
"Sp5nt","*** UNKNOWN - PLEASE PULL BACK ***"
"spaa","*** Alcohol Soft/DAEMON Tools ***"
"spac","*** Alcohol Soft/DAEMON Tools ***"
"spai","*** Alcohol Soft/DAEMON Tools ***"
"span","*** Alcohol Soft/DAEMON Tools ***"
"spap","*** Alcohol Soft/DAEMON Tools ***"
"sparrow","Adaptec AIC-6x60 Series SCSI Miniport Driver"
"spat","*** Alcohol Soft/DAEMON Tools ***"
"spau","*** Alcohol Soft/DAEMON Tools ***"
"spav","*** Alcohol Soft/DAEMON Tools ***"
"spaw","*** Alcohol Soft/DAEMON Tools ***"
"spba","*** Alcohol Soft/DAEMON Tools ***"
"SPBBCDrv","!!! PSP: Symantec AntiVirus !!!"
"spbe","*** Alcohol Soft/DAEMON Tools ***"
"spbi","*** Alcohol Soft/DAEMON Tools ***"
"spbk","*** Alcohol Soft/DAEMON Tools ***"
"spbo","*** Alcohol Soft/DAEMON Tools ***"
"spbq","*** Alcohol Soft/DAEMON Tools ***"
"spbs","*** Alcohol Soft/DAEMON Tools ***"
"spbu","*** Alcohol Soft/DAEMON Tools ***"
"spbv","*** Alcohol Soft/DAEMON Tools ***"
"spbx","*** Alcohol Soft/DAEMON Tools ***"
"spca","*** Alcohol Soft/DAEMON Tools ***"
"spcd","Cisco CAD and Recording Solution Driver"
"spch","*** Alcohol Soft/DAEMON Tools ***"
"spck","*** Alcohol Soft/DAEMON Tools ***"
"spcl","*** Alcohol Soft/DAEMON Tools ***"
"spcm","*** Alcohol Soft/DAEMON Tools ***"
"spcn","*** Alcohol Soft/DAEMON Tools ***"
"spcp","*** Alcohol Soft/DAEMON Tools ***"
"spcq","*** Alcohol Soft/DAEMON Tools ***"
"spcs","*** Alcohol Soft/DAEMON Tools ***"
"spdc","*** Alcohol Soft/DAEMON Tools ***"
"spde","*** Alcohol Soft/DAEMON Tools ***"
"spdf","*** Alcohol Soft/DAEMON Tools ***"
"spdj","*** Alcohol Soft/DAEMON Tools ***"
"spdl","*** Alcohol Soft/DAEMON Tools ***"
"spdn","*** Alcohol Soft/DAEMON Tools ***"
"spdv","*** Alcohol Soft/DAEMON Tools ***"
"spdx","*** Alcohol Soft/DAEMON Tools ***"
"spdy","*** Alcohol Soft/DAEMON Tools ***"
"spdy","*** Alcohol Soft/DAEMON Tools ***"
"spdz","*** Alcohol Soft/DAEMON Tools ***"
"speb","*** Alcohol Soft/DAEMON Tools ***"
"speedfan","Windows SpeedFan Device Driver"
"speh","*** Alcohol Soft/DAEMON Tools ***"
"spei","*** Alcohol Soft/DAEMON Tools ***"
"spej","*** Alcohol Soft/DAEMON Tools ***"
"spek","*** Alcohol Soft/DAEMON Tools ***"
"spem","*** Alcohol Soft/DAEMON Tools ***"
"spep","*** Alcohol Soft/DAEMON Tools ***"
"sper","*** Alcohol Soft/DAEMON Tools ***"
"spes","*** Alcohol Soft/DAEMON Tools ***"
"spet","*** Alcohol Soft/DAEMON Tools ***"
"speu","*** Alcohol Soft/DAEMON Tools ***"
"spev","*** Alcohol Soft/DAEMON Tools ***"
"spex","*** Alcohol Soft/DAEMON Tools ***"
"spfb","*** Alcohol Soft/DAEMON Tools ***"
"spfc","*** Alcohol Soft/DAEMON Tools ***"
"SPFDRV","SoftPerfect Research Packet Redirector Driver"
"spfg","*** Alcohol Soft/DAEMON Tools ***"
"spfi","*** Alcohol Soft/DAEMON Tools ***"
"spfl","*** Alcohol Soft/DAEMON Tools ***"
"spfo","*** Alcohol Soft/DAEMON Tools ***"
"spfp","*** Alcohol Soft/DAEMON Tools ***"
"spfr","*** Alcohol Soft/DAEMON Tools ***"
"spfx","*** Alcohol Soft/DAEMON Tools ***"
"spfy","*** Alcohol Soft/DAEMON Tools ***"
"spfz","*** Alcohol Soft/DAEMON Tools ***"
"spga","*** Alcohol Soft/DAEMON Tools ***"
"spgb","*** Alcohol Soft/DAEMON Tools ***"
"spgc","*** Alcohol Soft/DAEMON Tools ***"
"spgi","*** Alcohol Soft/DAEMON Tools ***"
"spgl","*** Alcohol Soft/DAEMON Tools ***"
"spgm","*** Alcohol Soft/DAEMON Tools ***"
"spgo","*** Alcohol Soft/DAEMON Tools ***"
"spgr","*** Alcohol Soft/DAEMON Tools ***"
"spgs","*** Alcohol Soft/DAEMON Tools ***"
"spgt","*** Alcohol Soft/DAEMON Tools ***"
"spgu","*** Alcohol Soft/DAEMON Tools ***"
"spgv","*** Alcohol Soft/DAEMON Tools ***"
"spgx","*** Alcohol Soft/DAEMON Tools ***"
"spgy","*** Alcohol Soft/DAEMON Tools ***"
"spgz","*** Alcohol Soft/DAEMON Tools ***"
"sphc","*** Alcohol Soft/DAEMON Tools ***"
"sphh","*** Alcohol Soft/DAEMON Tools ***"
"sphi","*** Alcohol Soft/DAEMON Tools ***"
"sphj","*** Alcohol Soft/DAEMON Tools ***"
"sphn","*** Alcohol Soft/DAEMON Tools ***"
"sphp","*** Alcohol Soft/DAEMON Tools ***"
"sphq","*** Alcohol Soft/DAEMON Tools ***"
"sphx","*** Alcohol Soft/DAEMON Tools ***"
"sphy","*** Alcohol Soft/DAEMON Tools ***"
"sphz","*** Alcohol Soft/DAEMON Tools ***"
"spia","*** Alcohol Soft/DAEMON Tools ***"
"spib","*** Alcohol Soft/DAEMON Tools ***"
"spider","!!! PSP: Dr. Web Enterprise Suite !!!"
"SPIDER","!!! PSP: Dr. Web Enterprise Suite !!!"
"spiderg3","!!! PSP: Dr. Web Anti-Virus !!!"
"spie","*** Alcohol Soft/DAEMON Tools ***"
"spif","*** Alcohol Soft/DAEMON Tools ***"
"spih","*** Alcohol Soft/DAEMON Tools ***"
"spii","*** Alcohol Soft/DAEMON Tools ***"
"spij","*** Alcohol Soft/DAEMON Tools ***"
"spil","*** Alcohol Soft/DAEMON Tools ***"
"spim","*** Alcohol Soft/DAEMON Tools ***"
"spin","*** Alcohol Soft/DAEMON Tools ***"
"spip","*** Alcohol Soft/DAEMON Tools ***"
"spiq","*** Alcohol Soft/DAEMON Tools ***"
"spis","*** Alcohol Soft/DAEMON Tools ***"
"spit","*** Alcohol Soft/DAEMON Tools ***"
"spiu","*** Alcohol Soft/DAEMON Tools ***"
"spiv","*** Alcohol Soft/DAEMON Tools ***"
"spiw","*** Alcohol Soft/DAEMON Tools ***"
"spja","*** Alcohol Soft/DAEMON Tools ***"
"spjb","*** Alcohol Soft/DAEMON Tools ***"
"spjc","*** Alcohol Soft/DAEMON Tools ***"
"spjf","*** Alcohol Soft/DAEMON Tools ***"
"spjg","*** Alcohol Soft/DAEMON Tools ***"
"spjk","*** Alcohol Soft/DAEMON Tools ***"
"spjn","*** Alcohol Soft/DAEMON Tools ***"
"spjp","*** Alcohol Soft/DAEMON Tools ***"
"spjq","*** Alcohol Soft/DAEMON Tools ***"
"spjt","*** Alcohol Soft/DAEMON Tools ***"
"spju","*** Alcohol Soft/DAEMON Tools ***"
"spjv","*** Alcohol Soft/DAEMON Tools ***"
"spka","*** Alcohol Soft/DAEMON Tools ***"
"spke","*** Alcohol Soft/DAEMON Tools ***"
"spkf","*** Alcohol Soft/DAEMON Tools ***"
"spki","*** Alcohol Soft/DAEMON Tools ***"
"spkm","*** Alcohol Soft/DAEMON Tools ***"
"spko","*** Alcohol Soft/DAEMON Tools ***"
"spkq","*** Alcohol Soft/DAEMON Tools ***"
"spkt","*** Alcohol Soft/DAEMON Tools ***"
"spku","*** Alcohol Soft/DAEMON Tools ***"
"spkw","*** Alcohol Soft/DAEMON Tools ***"
"spkx","*** Alcohol Soft/DAEMON Tools ***"
"spkz","*** Alcohol Soft/DAEMON Tools ***"
"spla","*** Alcohol Soft/DAEMON Tools ***"
"splb","*** Alcohol Soft/DAEMON Tools ***"
"spldr","Microsoft Windows Security Process Loader"
"spldrx","*** UNKNOWN - PLEASE PULL BACK ***"
"splh","*** Alcohol Soft/DAEMON Tools ***"
"splitcam","LoteSoft Video Capture Stream Splitter"
"splitter","Microsoft Kernel Audio Splitter"
"splk","*** Alcohol Soft/DAEMON Tools ***"
"spln","*** Alcohol Soft/DAEMON Tools ***"
"splr","*** Alcohol Soft/DAEMON Tools ***"
"splt","*** Alcohol Soft/DAEMON Tools ***"
"splw","*** Alcohol Soft/DAEMON Tools ***"
"splx","*** Alcohol Soft/DAEMON Tools ***"
"splz","*** Alcohol Soft/DAEMON Tools ***"
"spma","*** Alcohol Soft/DAEMON Tools ***"
"spmc","*** Alcohol Soft/DAEMON Tools ***"
"spmf","*** Alcohol Soft/DAEMON Tools ***"
"spmi","*** Alcohol Soft/DAEMON Tools ***"
"spmj","*** Alcohol Soft/DAEMON Tools ***"
"spmk","*** Alcohol Soft/DAEMON Tools ***"
"spml","*** Alcohol Soft/DAEMON Tools ***"
"spmo","*** Alcohol Soft/DAEMON Tools ***"
"spmp","*** Alcohol Soft/DAEMON Tools ***"
"spmq","*** Alcohol Soft/DAEMON Tools ***"
"spms","*** Alcohol Soft/DAEMON Tools ***"
"spmv","*** Alcohol Soft/DAEMON Tools ***"
"spna","*** Alcohol Soft/DAEMON Tools ***"
"spnc","*** Alcohol Soft/DAEMON Tools ***"
"spne","*** Alcohol Soft/DAEMON Tools ***"
"spni","*** Alcohol Soft/DAEMON Tools ***"
"spnj","*** Alcohol Soft/DAEMON Tools ***"
"spnl","*** Alcohol Soft/DAEMON Tools ***"
"spnm","*** Alcohol Soft/DAEMON Tools ***"
"spno","*** Alcohol Soft/DAEMON Tools ***"
"spnp","*** Alcohol Soft/DAEMON Tools ***"
"spnr","*** Alcohol Soft/DAEMON Tools ***"
"spnt","*** Alcohol Soft/DAEMON Tools ***"
"spnz","*** Alcohol Soft/DAEMON Tools ***"
"spob","*** Alcohol Soft/DAEMON Tools ***"
"spoc","*** Alcohol Soft/DAEMON Tools ***"
"spoh","*** Alcohol Soft/DAEMON Tools ***"
"spol","*** Alcohol Soft/DAEMON Tools ***"
"spom","*** Alcohol Soft/DAEMON Tools ***"
"spomui1","*** UNKNOWN - PLEASE PULL BACK ***"
"spon","*** Alcohol Soft/DAEMON Tools ***"
"spoo","*** Alcohol Soft/DAEMON Tools ***"
"spor","*** Alcohol Soft/DAEMON Tools ***"
"spos","*** Alcohol Soft/DAEMON Tools ***"
"spot","*** Alcohol Soft/DAEMON Tools ***"
"spow","*** Alcohol Soft/DAEMON Tools ***"
"spoy","*** Alcohol Soft/DAEMON Tools ***"
"spoz","*** Alcohol Soft/DAEMON Tools ***"
"sppc","*** Alcohol Soft/DAEMON Tools ***"
"sppe","*** Alcohol Soft/DAEMON Tools ***"
"sppf","*** Alcohol Soft/DAEMON Tools ***"
"sppg","*** Alcohol Soft/DAEMON Tools ***"
"sppj","*** Alcohol Soft/DAEMON Tools ***"
"sppk","*** Alcohol Soft/DAEMON Tools ***"
"sppn","*** Alcohol Soft/DAEMON Tools ***"
"sppo","*** Alcohol Soft/DAEMON Tools ***"
"SpPortEx","Samsung Port Exclusion Driver"
"sppq","*** Alcohol Soft/DAEMON Tools ***"
"spps","*** Alcohol Soft/DAEMON Tools ***"
"sppt","*** Alcohol Soft/DAEMON Tools ***"
"sppv","*** Alcohol Soft/DAEMON Tools ***"
"sppw","*** Alcohol Soft/DAEMON Tools ***"
"sppx","*** Alcohol Soft/DAEMON Tools ***"
"sppz","*** Alcohol Soft/DAEMON Tools ***"
"spqa","*** Alcohol Soft/DAEMON Tools ***"
"spqb","*** Alcohol Soft/DAEMON Tools ***"
"spqh","*** Alcohol Soft/DAEMON Tools ***"
"spqi","*** Alcohol Soft/DAEMON Tools ***"
"spqj","*** Alcohol Soft/DAEMON Tools ***"
"spqn","*** Alcohol Soft/DAEMON Tools ***"
"spqo","*** Alcohol Soft/DAEMON Tools ***"
"spqq","*** Alcohol Soft/DAEMON Tools ***"
"spqr","*** Alcohol Soft/DAEMON Tools ***"
"spqv","*** Alcohol Soft/DAEMON Tools ***"
"spqw","*** Alcohol Soft/DAEMON Tools ***"
"spqx","*** Alcohol Soft/DAEMON Tools ***"
"spra","*** Alcohol Soft/DAEMON Tools ***"
"spre","*** Alcohol Soft/DAEMON Tools ***"
"sprj","*** Alcohol Soft/DAEMON Tools ***"
"sprk","*** Alcohol Soft/DAEMON Tools ***"
"sprm","*** Alcohol Soft/DAEMON Tools ***"
"sprn","*** Alcohol Soft/DAEMON Tools ***"
"spro","*** Alcohol Soft/DAEMON Tools ***"
"sprt","*** Alcohol Soft/DAEMON Tools ***"
"spru","*** Alcohol Soft/DAEMON Tools ***"
"sprv","*** Alcohol Soft/DAEMON Tools ***"
"sprw","*** Alcohol Soft/DAEMON Tools ***"
"spry","*** Alcohol Soft/DAEMON Tools ***"
"spsa","*** Alcohol Soft/DAEMON Tools ***"
"spsg","*** Alcohol Soft/DAEMON Tools ***"
"spsh","*** Alcohol Soft/DAEMON Tools ***"
"spsj","*** Alcohol Soft/DAEMON Tools ***"
"spsn","*** Alcohol Soft/DAEMON Tools ***"
"SPSniff","Eltima Serial Port Monitor Driver"
"spsp","*** Alcohol Soft/DAEMON Tools ***"
"spsq","*** Alcohol Soft/DAEMON Tools ***"
"spsr","*** Alcohol Soft/DAEMON Tools ***"
"spsv","*** Alcohol Soft/DAEMON Tools ***"
"spsw","*** Alcohol Soft/DAEMON Tools ***"
"spsx","*** Alcohol Soft/DAEMON Tools ***"
"spsy","*** Alcohol Soft/DAEMON Tools ***"
"spsys","Microsoft Security Processor Driver"
"spsysx","*** UNKNOWN - PLEASE PULL BACK ***"
"spsz","*** Alcohol Soft/DAEMON Tools ***"
"sptd","*** Alcohol Soft/DAEMON Tools ***"
"SPTD0029","*** Alcohol Soft/DAEMON Tools ***"
"SPTD0413","*** Alcohol Soft/DAEMON Tools ***"
"SPTD0653","*** Alcohol Soft/DAEMON Tools ***"
"SPTD1133","*** Alcohol Soft/DAEMON Tools ***"
"SPTD3437","*** Alcohol Soft/DAEMON Tools ***"
"SPTD3485","*** Alcohol Soft/DAEMON Tools ***"
"SPTD3693","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4237","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4237","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4349","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4685","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4717","*** Alcohol Soft/DAEMON Tools ***"
"SPTD4893","*** Alcohol Soft/DAEMON Tools ***"
"SPTD5453","*** Alcohol Soft/DAEMON Tools ***"
"SPTD5821","*** Alcohol Soft/DAEMON Tools ***"
"SPTD8397","*** Alcohol Soft/DAEMON Tools ***"
"SPTD8605","*** Alcohol Soft/DAEMON Tools ***"
"SPTD8829","*** Alcohol Soft/DAEMON Tools ***"
"SPTDDRV1","Microsoft SCSI Port Driver"
"sptrak","Promise SuperTrak Family Driver"
"spua","*** Alcohol Soft/DAEMON Tools ***"
"spud","Special Purpose Utility Driver"
"spuf","*** Alcohol Soft/DAEMON Tools ***"
"spui","*** Alcohol Soft/DAEMON Tools ***"
"spul","*** Alcohol Soft/DAEMON Tools ***"
"spum","*** Alcohol Soft/DAEMON Tools ***"
"spun","*** Alcohol Soft/DAEMON Tools ***"
"sput","*** Alcohol Soft/DAEMON Tools ***"
"spuu","*** Alcohol Soft/DAEMON Tools ***"
"spuv","*** Alcohol Soft/DAEMON Tools ***"
"spuw","*** Alcohol Soft/DAEMON Tools ***"
"spux","*** Alcohol Soft/DAEMON Tools ***"
"spuz","*** Alcohol Soft/DAEMON Tools ***"
"spvb","*** Alcohol Soft/DAEMON Tools ***"
"spvc","*** Alcohol Soft/DAEMON Tools ***"
"spve","*** Alcohol Soft/DAEMON Tools ***"
"spvg","*** Alcohol Soft/DAEMON Tools ***"
"spvj","*** Alcohol Soft/DAEMON Tools ***"
"spvk","*** Alcohol Soft/DAEMON Tools ***"
"spvm","*** Alcohol Soft/DAEMON Tools ***"
"spvn","*** Alcohol Soft/DAEMON Tools ***"
"spvo","*** Alcohol Soft/DAEMON Tools ***"
"spvp","*** Alcohol Soft/DAEMON Tools ***"
"spvr","*** Alcohol Soft/DAEMON Tools ***"
"spvs","*** Alcohol Soft/DAEMON Tools ***"
"spvt","*** Alcohol Soft/DAEMON Tools ***"
"spvu","*** Alcohol Soft/DAEMON Tools ***"
"spvv","*** Alcohol Soft/DAEMON Tools ***"
"spvx","*** Alcohol Soft/DAEMON Tools ***"
"spvy","*** Alcohol Soft/DAEMON Tools ***"
"spvz","*** Alcohol Soft/DAEMON Tools ***"
"spwa","*** Alcohol Soft/DAEMON Tools ***"
"spwb","*** Alcohol Soft/DAEMON Tools ***"
"spwc","*** Alcohol Soft/DAEMON Tools ***"
"spwe","*** Alcohol Soft/DAEMON Tools ***"
"spwg","*** Alcohol Soft/DAEMON Tools ***"
"spwh","*** Alcohol Soft/DAEMON Tools ***"
"spwi","*** Alcohol Soft/DAEMON Tools ***"
"spwj","*** Alcohol Soft/DAEMON Tools ***"
"spwl","*** Alcohol Soft/DAEMON Tools ***"
"spwn","*** Alcohol Soft/DAEMON Tools ***"
"spwo","*** Alcohol Soft/DAEMON Tools ***"
"spwt","*** Alcohol Soft/DAEMON Tools ***"
"spwu","*** Alcohol Soft/DAEMON Tools ***"
"spwy","*** Alcohol Soft/DAEMON Tools ***"
"spxb","*** Alcohol Soft/DAEMON Tools ***"
"spxc","*** Alcohol Soft/DAEMON Tools ***"
"spxg","*** Alcohol Soft/DAEMON Tools ***"
"spxi","*** Alcohol Soft/DAEMON Tools ***"
"spxm","*** Alcohol Soft/DAEMON Tools ***"
"spxn","*** Alcohol Soft/DAEMON Tools ***"
"spxp","*** Alcohol Soft/DAEMON Tools ***"
"spxq","*** Alcohol Soft/DAEMON Tools ***"
"spxv","*** Alcohol Soft/DAEMON Tools ***"
"spxx","*** Alcohol Soft/DAEMON Tools ***"
"spxz","*** Alcohol Soft/DAEMON Tools ***"
"spyc","*** Alcohol Soft/DAEMON Tools ***"
"spyemrg","!!! PSP: NETGATE Spy Emergency !!!"
"spyemrg_access","!!! PSP: NETGATE Spy Emergency !!!"
"spyemrg_guard","!!! PSP: NETGATE Spy Emergency !!!"
"spyg","*** Alcohol Soft/DAEMON Tools ***"
"spyi","*** Alcohol Soft/DAEMON Tools ***"
"spyj","*** Alcohol Soft/DAEMON Tools ***"
"spyl","*** Alcohol Soft/DAEMON Tools ***"
"spyo","*** Alcohol Soft/DAEMON Tools ***"
"spys","*** Alcohol Soft/DAEMON Tools ***"
"spyv","*** Alcohol Soft/DAEMON Tools ***"
"spyx","*** Alcohol Soft/DAEMON Tools ***"
"spyy","*** Alcohol Soft/DAEMON Tools ***"
"spyz","*** Alcohol Soft/DAEMON Tools ***"
"spzc","*** Alcohol Soft/DAEMON Tools ***"
"spze","*** Alcohol Soft/DAEMON Tools ***"
"spzf","*** Alcohol Soft/DAEMON Tools ***"
"spzg","*** Alcohol Soft/DAEMON Tools ***"
"spzh","*** Alcohol Soft/DAEMON Tools ***"
"spzi","*** Alcohol Soft/DAEMON Tools ***"
"spzl","*** Alcohol Soft/DAEMON Tools ***"
"spzm","*** Alcohol Soft/DAEMON Tools ***"
"spzn","*** Alcohol Soft/DAEMON Tools ***"
"spzp","*** Alcohol Soft/DAEMON Tools ***"
"spzq","*** Alcohol Soft/DAEMON Tools ***"
"spzr","*** Alcohol Soft/DAEMON Tools ***"
"spzw","*** Alcohol Soft/DAEMON Tools ***"
"spzy","*** Alcohol Soft/DAEMON Tools ***"
"spzz","*** Alcohol Soft/DAEMON Tools ***"
"sr","System Restore Filter Driver"
"sr9usb","SR9600 USB To Fast Ethernet Adapter Driver"
"SRDFCE","*** UNKNOWN - PLEASE PULL BACK ***"
"srescan","!!! PSP: Zone Alarm Internet Security !!!"
"srosa2","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"srs_PremiumSound_i386","SRS Premium Sound Driver"
"srs_sscfilter_i386","SRS WOW HD TSXT CSII Mobile HD Standalone Driver"
"SRT6000","LKT 868C Serial Port Driver"
"SRTSP","!!! PSP: Symantec AntiVirus !!!"
"SRTSP64","!!! PSP: Symantec Endpoint Protection !!!"
"SRTSPL","!!! PSP: Symantec AntiVirus !!!"
"SRTSPX","!!! PSP: Symantec AntiVirus !!!"
"SRTSPX64","!!! PSP: Symantec Endpoint Protection !!!"
"srv","Microsoft Server Driver"
"srv2","*** ST MENTAL *** -OR- Microsoft SMB 2.0 Server Driver"
"srvkp","SiS VGA Driver Manager"
"srvloc","Novell Client Driver"
"srvnet","Microsoft Server Network Driver"
"sscdbhk5","Sonic Shared Driver Component"
"sscdbus","MCCI SAMSUNG CDMA Modem Driver"
"sscdcm","MCCI SAMSUNG CDMA Modem Driver"
"sscdmdfl","MCCI SAMSUNG CDMA Modem Driver"
"sscdmdm","MCCI SAMSUNG CDMA Modem Driver"
"sscdserd","MCCI SAMSUNG Mobile Modem Diagnostic Serial Port Driver"
"sscdwh","MCCI SAMSUNG CDMA Modem Driver"
"SscRdBus","SuperSpeed RamDisk Virtual Bus Driver"
"SscRdCls","SuperSpeed RamDisk Storage Class Driver"
"SsDrv","PC Card Socket Service"
"SSFS0BB9","!!! PSP: Webroot Spy Sweeper !!!"
"SSHDRV65","ProtectCD Copy Protection Helper Driver"
"SSHDRV86","ProtectCD Hardware I/O Control Driver"
"SSHRMD","!!! PSP: Webroot Spy Sweeper !!!"
"SSIDRV","!!! PSP: Webroot Spy Sweeper !!!"
"SsInstal","Brain Boxes Serial Solutions Driver"
"SSIoMngr","Compal IoManager Application"
"SSIPDDP","Microsoft USB Flash Drive System Driver"
"SSLDrv","SonicWALL SSL-VPN NetExtender Driver"
"ssmdrv","!!! PSP: Avira AntiVir !!!"
"ssoftnt4","Cypherix Software Cryptainer Driver"
"ssp.mlm","Dialogic Host Media Processing Driver"
"sspIntf","Dialogic HMP SSP Interface Driver"
"SsPort","Samsung 32bit Port Contention Driver"
"ssrtln","Sonic Shared Driver Component"
"St323dk","Generic ST323DK SCSI Miniport Driver"
"st3shark","ST3SHARK SCSI Controller Driver"
"st3tgbus","ST3TIGER PnP BIOS Extension"
"st3tiger","ST3TIGER SCSI Controller Driver"
"st3wolf","*** Alcohol Soft/DAEMON Tools ***"
"STAC97","SigmaTel Audio Driver (WDM)"
"StarEther","Rocket Division StarEther iSCSI Driver"
"StarOpen","Samsung PC Studio 3 (Rocket Division)"
"startdss","HP ProLiant Virtual Install Disk Support Driver"
"stc_atlf","STC Analog H197 Driver"
"stcp2v30","StorageCraft Volume Snapshot Driver"
"stcusb","SCM USB Smart Card Reader Driver"
"stdatw2k","IBM/Seagate DAT Tape Driver"
"stdflt","ST Micro Disk Filter Driver for Accelerometer"
"stealth","STEALTH SCSI Miniport Driver"
"sthda","Sigmatel HD Audio Driver"
"sthda64","SigmaTel HD Audio CODEC Driver"
"stlth317","Generic STLTH317 SCSI Miniport Driver"
"stm_tpm","ST Micro TPM Device Driver"
"storflt","Microsoft Virtual Storage Filter Driver"
"storport","Microsoft StorPort Virtual Miniport Driver"
"storvsc","*** DARKSKYLINE MENTAL ***"
"storvsp","Microsoft Hyper-V Virtual Server Driver"
"STREAM","Microsoft WDM CODEC Class Device Driver"
"streams","Microsoft STREAMS Networking Environment"
"stremu","Guardant Net LPT Key Protection"
"strfile","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"stwlfbus","*** Alcohol Soft/DAEMON Tools ***"
"stwrt","Sigmatel IDT PC Audio Driver"
"STYLEXPHELPER","TGTSoft StyleXP Helper Driver"
"superbmc","SuperMicro IPMI BMC Driver"
"superk5","Microsoft Superk5 I/O Driver"
"supersafer","TrueCrypt Driver"
"surroundhp_kern_i386","SRS Audio Sandbox Driver"
"svga","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"svgad","Intel SVGA Display Driver"
"svgam","Intel SVGA Miniport Driver"
"SVKernel","!!! PSP: SiliVaccine 2005 !!!"
"SVKP","Anti Cracking SVKP Driver for NT"
"SVMiddle","!!! PSP: SiliVaccine 2005 !!!"
"swenum","Software Bus Driver"
"swinsvc","*** UNKNOWN - PLEASE PULL BACK ***"
"swmidi","Microsoft Kernel GS Wavetable Synthesizer"
"sxgbvswp","YAMAHA SoftSynthesizer S-YXG50 Driver"
"sxgxgwdm","YAMAHA SoftSynthesizer Driver"
"sxuptp","Silex Technology SXUPTP Driver"
"sym_895a","Symbios 895A/8953U PCI SCSI Driver"
"sym_hi","Symbios High-Perf SCSI Miniport Driver"
"sym_u3","Symbios Ultra3 SCSI Miniport Driver"
"symc648","*** UNKNOWN - PLEASE PULL BACK ***"
"symc810","Symbios Logic Scsi Driver"
"symc81x","*** DARKSKYLINE MENTAL ***"
"symc8xx","Symbios 8xx miniport driver"
"SYMDNS","!!! PSP: Symantec AntiVirus !!!"
"SYMDS","!!! PSP: Norton Internet Security !!!"
"SYMEFA","!!! PSP: Norton Internet Security !!!"
"SYMEVENT","!!! PSP: Symantec AntiVirus !!!"
"SYMEVENT64x86","!!! PSP: Symantec AntiVirus !!!"
"SYMFILT","!!! PSP: Norton Internet Security !!!"
"SYMFW","!!! PSP: Symantec AntiVirus !!!"
"SYMIDS","!!! PSP: Symantec AntiVirus !!!"
"SymIDSCo","!!! PSP: Symantec AntiVirus !!!"
"SymIM","!!! PSP: Norton Internet Security !!!"
"SymIMv","!!! PSP: Symantec AntiVirus !!!"
"symlcbrd","!!! PSP: Norton Internet Security !!!"
"symmpi","LSI Logic Fusion-MPT MiniPort Driver"
"SYMNDIS","!!! PSP: Symantec AntiVirus !!!"
"SYMNDISV","!!! PSP: Symantec AntiVirus !!!"
"SYMREDRV","!!! PSP: Symantec AntiVirus !!!"
"SymSnap","StorageCraft Volume Snap-Shot Driver"
"symsnap","StorageCraft Volume Snap-Shot"
"SYMTDI","!!! PSP: Symantec AntiVirus !!!"
"SYMTDIV","!!! PSP: Symantec AntiVirus !!!"
"SynTP","Synaptics Touchpad Driver"
"sysaudio","Microsoft Kernel System Audio Device"
"SysCheck","*** UNKNOWN - PLEASE PULL BACK ***"
"sysdrv32","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"SysGuard","!!! PSP: Jiangmin Antivirus !!!"
"SysICDrv","Windows Sample File System Filter Driver"
"SysInfo","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"SysLib0","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
